"Date","Price","Open","High","Low","Vol.","Change %"
"02/21/2025","2936.03","2939.00","2950.01","2916.70","","-0.09%"
"02/20/2025","2938.70","2932.81","2954.97","2924.20","","0.21%"
"02/19/2025","2932.64","2935.73","2947.23","2918.50","","-0.10%"
"02/18/2025","2935.58","2897.51","2937.46","2891.94","","1.31%"
"02/17/2025","2897.66","2883.55","2906.69","2887.20","","0.50%"
"02/14/2025","2883.18","2929.19","2940.23","2876.96","","-1.57%"
"02/13/2025","2929.03","2904.10","2929.74","2900.20","","0.87%"
"02/12/2025","2903.66","2898.90","2909.16","2864.01","","0.18%"
"02/11/2025","2898.34","2907.47","2943.25","2881.76","","-0.31%"
"02/10/2025","2907.34","2864.08","2911.60","2854.69","","1.64%"
"02/07/2025","2860.39","2856.60","2886.96","2852.55","","+0.14%"
"02/06/2025","2856.50","2865.26","2873.74","2834.40","","-0.30%"
"02/05/2025","2865.09","2842.06","2882.53","2839.32","","+0.81%"
"02/04/2025","2841.94","2814.80","2845.57","2806.90","","+1.01%"
"02/03/2025","2813.30","2793.92","2830.60","2772.38","","+0.69%"
"02/02/2025","2793.94","2802.30","2804.79","2785.72","","-0.25%"
"01/31/2025","2801.00","2794.04","2817.57","2790.78","","+0.25%"
"01/30/2025","2794.12","2760.36","2798.48","2758.90","","+1.22%"
"01/29/2025","2760.42","2763.48","2766.53","2744.71","","-0.10%"
"01/28/2025","2763.28","2741.78","2765.06","2734.90","","+0.79%"
"01/27/2025","2740.88","2767.88","2772.61","2730.59","","-0.97%"
"01/24/2025","2771.25","2752.56","2786.04","2752.56","","+0.64%"
"01/23/2025","2753.69","2755.96","2759.06","2735.85","","-0.05%"
"01/22/2025","2755.02","2745.08","2763.72","2741.83","121.32K","+0.39%"
"01/21/2025","2744.39","2709.01","2746.88","2702.49","121.32K","+1.34%"
"01/20/2025","2708.06","2702.51","2714.40","2689.32","121.32K","+0.24%"
"01/17/2025","2701.55","2713.85","2717.73","2698.41","121.32K","-0.45%"
"01/16/2025","2712.93","2693.43	","2724.77","2690.10","121.32K","+0.63%"
"01/15/2025","2695.82","2677.29","2697.85","2669.04","121.32K","+0.70%"
"01/14/2025","2677.16","2662.53","2678.44","2659.79","121.32K","+0.56%"
"01/13/2025","2662.12","2689.35","2693.77","2656.73","121.32K","-1.02%"
"01/10/2025","2689.63","2670.74","2698.57","2663.65","121.32K","+0.73%"
"01/09/2025","2670.61","2659.81","2678.16","2655.73","","+0.32%"
"01/08/2025","2661.72","2649.65","2669.95","2645.35","","+0.46%"
"01/07/2025","2648.72","2634.69","2664.26","2633.07","","+0.51%"
"01/06/2025","2635.33","2641.00","2649.62","2614.60","","-0.14%"
"01/03/2025","2639.12","2657.30","2665.47","2636.40","","-0.68%"
"01/02/2025","2657.16","2626.61","2660.85","2621.52","","+1.27%"
"01/01/2025","2623.80","2625.15","2625.74","2621.78","","0.00%"
"12/31/2024","2623.81","2606.13","2627.85","2602.50","","0.71%"
"12/30/2024","2605.39","2620.30","2628.61","2595.90","","-0.56%"
"12/27/2024","2620.00","2634.59","2638.74","2611.30","","-0.55%"
"12/26/2024","2634.43","2619.80","2639.40","2614.13","","0.81%"
"12/24/2024","2613.20","2613.07","2621.83","2609.92","","0.01%"
"12/23/2024","2612.93","2622.24","2633.60","2607.97","","-0.30%"
"12/20/2024","2620.77","2593.97","2631.92","2589.56","","1.04%"
"12/19/2024","2593.85","2587.87","2626.73","2583.49","","0.24%"
"12/18/2024","2587.63","2645.68","2652.09","2586.52","","-2.19%"
"12/17/2024","2646.53","2651.81","2658.76","2633.23","","-0.23%"	
"12/16/2024","2652.51","2651.48","2664.48","2643.65","","+0.04%"		
"12/15/2024","2651.57","2649.15","2653.14","2648.85","","+0.12%"		
"12/13/2024","2648.39","2681.47","2693.02","2645.90","","-1.23%"		
"12/12/2024","2681.07","2720.11","2726.30","2675.23","","+0.91%"		
"12/11/2024","2718.07","2696.09","2721.14","2675.55","","+0.91%"		
"12/10/2024","2693.64","2658.82","2695.80","2657.95","","+1.31%"
